,diarynum,entry_year,entry_id,0,1,2
4314,509.0,1968.0,193483,-0.23186815,0.08760838,0.056149896
4315,509.0,1968.0,193483,-0.18141752,0.11161104,-0.02755939
4316,509.0,1968.0,193483,-0.19219781,0.11665694,0.01551306
4317,509.0,1968.0,193483,-0.17601998,0.12688616,0.01565599
4318,509.0,1968.0,193483,-0.20305356,0.10934466,0.002450163
4319,509.0,1968.0,193484,-0.4256122,0.22043994,0.06836846
4320,509.0,1968.0,193484,-0.5338784,0.13160788,0.26434228
4321,509.0,1968.0,193485,-0.19540864,0.09451877,0.03208827
4322,509.0,1968.0,193485,-0.18930967,0.12096839,-0.015253945
4323,509.0,1968.0,193495,-0.24963658,0.15480478,-0.012510345
4324,509.0,1968.0,193495,-0.16793746,0.10968609,-0.019200878
4325,509.0,1968.0,193495,-0.19447255,0.11491183,0.019622313
4326,509.0,1968.0,193495,-0.19740541,0.10507111,0.056967933
4327,509.0,1968.0,193495,-0.377129,0.3201208,-0.18868566
4328,509.0,1968.0,193502,-0.22396176,0.13554797,-0.019072447
4329,509.0,1968.0,193506,-0.26540467,0.14251111,-0.0069321026
4330,509.0,1968.0,193512,-0.21607605,0.14390787,-0.028576167
4331,509.0,1968.0,193513,-0.46715742,0.34563014,-0.2759659
4332,509.0,1968.0,193513,-0.3364818,0.16072653,-0.19282225
4333,509.0,1968.0,193513,-0.20131135,0.08362878,0.015185942
4334,509.0,1968.0,193514,-0.42432937,0.16514255,-0.24844904
4335,509.0,1968.0,193515,-0.21709418,0.14747249,-0.074050255
4336,509.0,1968.0,193523,-0.13674136,0.13899428,-0.06578542
4337,509.0,1968.0,193524,-0.43490914,0.24232212,-0.108904086
4338,509.0,1968.0,193525,-0.12840277,0.11563026,0.062330287
4339,509.0,1968.0,193525,-0.15828554,0.13997105,-0.096015945
4340,509.0,1968.0,193525,-0.16355555,0.12897587,0.03863217
4341,509.0,1968.0,193533,-0.20737018,0.1384383,-0.0068285516
4342,509.0,1968.0,193538,-0.12039515,0.017859422,-0.0762967
4343,509.0,1968.0,193538,-0.2259019,0.09138436,0.08093961
4344,509.0,1968.0,193538,-0.29817966,0.13164002,-0.106636226
4345,509.0,1968.0,193546,-0.29567605,0.2300815,-0.05423835
